,url,title,published at,description,view count,comment count,like count,category,Consultation date
28,https://www.youtube.com/watch?v=gAnMgCXvlM8,¿Por que es tan cara la antimateria? #short,2023-07-06T21:11:33Z,¿Por que es tan cara la antimateria?,3732464,2116,367621,Science & Technology,2024-10-29
29,https://www.youtube.com/watch?v=TKKgiwiHeWE,El poeta que salvó el teoría atómica #shorts,2023-05-01T21:00:13Z,"El poeta que salvó el teoría atómica

#parati #fyp #teoriaatomica 
------------------
🌌 La aventura del conocimiento: https://amautas.com/
📚 Date Un Libro: https://bit.ly/dateunlibro
🤳TikTok: https://www.tiktok.com/@jasantaolalla
📸 Instagram: https://www.instagram.com/jasantaolalla
🥳 Date Un Vlog: https://www.youtube.com/c/Dateunvlog
⚡ Date Un Voltio: https://www.youtube.com/c/DateunVoltio
🧛‍♂️ Edición: https://linktr.ee/ikefuti",146779,58,17081,Science & Technology,2024-10-29
30,https://www.youtube.com/watch?v=5C_y0zO5XOs,Las mareas,2023-12-23T19:14:19Z,,733038,664,62079,Science & Technology,2024-10-29
31,https://www.youtube.com/watch?v=De2NsXGb0fU,La suma de velocidades en relatividad #shorts,2023-05-18T23:35:04Z,"La suma de velocidades en relatividad

#parati #fyp #supernova
------------------
🌌 La aventura del conocimiento: https://amautas.com/
📚 Date Un Libro: https://bit.ly/dateunlibro
🤳TikTok: https://www.tiktok.com/@jasantaolalla
📸 Instagram: https://www.instagram.com/jasantaolalla
🥳 Date Un Vlog: https://www.youtube.com/c/Dateunvlog
⚡ Date Un Voltio: https://www.youtube.com/c/DateunVoltio
🧛‍♂️ Edición: https://linktr.ee/ikefuti",4321100,2020,291286,Science & Technology,2024-10-29
32,https://www.youtube.com/watch?v=rtyuV8lyYUw,Auroras boreales y australes #shorts,2024-05-16T12:04:28Z,Auroras boreales y australes,52930,58,7111,Science & Technology,2024-10-29
33,https://www.youtube.com/watch?v=RjIBnvLnmbc,Hora de aventuras ¿Aciertos? ¿Errores? #shorts,2023-05-29T21:36:51Z,"Hora de aventuras ¿Aciertos? ¿Errores?

#parati #fyp #horadeaventuras 
------------------
🌌 La aventura del conocimiento: https://amautas.com/
📚 Date Un Libro: https://bit.ly/dateunlibro
🤳TikTok: https://www.tiktok.com/@jasantaolalla
📸 Instagram: https://www.instagram.com/jasantaolalla
🥳 Date Un Vlog: https://www.youtube.com/c/Dateunvlog
⚡ Date Un Voltio: https://www.youtube.com/c/DateunVoltio
🧛‍♂️ Edición: https://linktr.ee/ikefuti",195852,133,24869,Science & Technology,2024-10-29
34,https://www.youtube.com/watch?v=_V0p-GEUdf0,Dimitri Mendeleiev,2023-12-26T17:45:42Z,,80906,59,10797,Science & Technology,2024-10-29
35,https://www.youtube.com/watch?v=ddblbBtFOgA,Arriba los telecosss #shorts,2023-05-24T17:03:11Z,"Arriba los telecosss

@telecorenta 

#telecorenta #telecomunicación #ingenieriadetelecomunicación #telecomunicaciones
------------------
🌌 La aventura del conocimiento: https://amautas.com/
📚 Date Un Libro: https://bit.ly/dateunlibro
🤳TikTok: https://www.tiktok.com/@jasantaolalla
📸 Instagram: https://www.instagram.com/jasantaolalla
🥳 Date Un Vlog: https://www.youtube.com/c/Dateunvlog
⚡ Date Un Voltio: https://www.youtube.com/c/DateunVoltio
🧛‍♂️ Edición: https://linktr.ee/ikefuti",187783,172,18239,Science & Technology,2024-10-29
36,https://www.youtube.com/watch?v=4LiX3Nx4xQY,¿Los fotones caen?,2023-10-13T18:45:00Z,,898155,695,109214,Science & Technology,2024-10-29
37,https://www.youtube.com/watch?v=4XlSSFNwhwo,¿Cuantas personas se necesitan para construir una pirámide?,2023-06-25T16:03:15Z,,1262126,1389,141990,Science & Technology,2024-10-29
38,https://www.youtube.com/watch?v=t4HSLqXOOLY,Tony Stark en caida libre #short,2023-08-24T14:55:43Z,,1622495,710,158961,Science & Technology,2024-10-29
39,https://www.youtube.com/watch?v=16qcNODGS1c,Auroras en México #shorts,2024-05-14T15:14:21Z,Auroras en México,44260,39,6192,Science & Technology,2024-10-29
40,https://www.youtube.com/watch?v=a88Jo_sSeLw,El lugar más frío del cosmos,2024-02-26T19:54:21Z,,835740,676,88661,Science & Technology,2024-10-29
41,https://www.youtube.com/watch?v=YJm7gL8Dg8E,60 minutos,2024-03-13T18:03:37Z,,982936,378,90262,Science & Technology,2024-10-29
42,https://www.youtube.com/watch?v=-tLTU8hwRS0,Nuevo vídeo sobre el Nobel en Física 2024 Corraaaaaaaaaaan a verlo,2024-10-10T17:30:55Z,,481708,212,50206,Science & Technology,2024-10-29
43,https://www.youtube.com/watch?v=rcLc8uX6vdE,Pitagoras loquillo,2024-09-18T16:18:03Z,,1567055,731,125137,Science & Technology,2024-10-29
44,https://www.youtube.com/watch?v=mAy1w2ILPCg,Una teoría loca sobre @AnuelAA #shorts,2023-05-10T21:00:17Z,"Una teoría loca sobre @AnuelAA 

#parati #fyp #anuelaa 
------------------
🌌 La aventura del conocimiento: https://amautas.com/
📚 Date Un Libro: https://bit.ly/dateunlibro
🤳TikTok: https://www.tiktok.com/@jasantaolalla
📸 Instagram: https://www.instagram.com/jasantaolalla
🥳 Date Un Vlog: https://www.youtube.com/c/Dateunvlog
⚡ Date Un Voltio: https://www.youtube.com/c/DateunVoltio
🧛‍♂️ Edición: https://linktr.ee/ikefuti",958284,1772,87538,Science & Technology,2024-10-29
45,https://www.youtube.com/watch?v=rlCGcyNxYQo,Restos NO HUMANOS: ¿QUE PENSARÍA SAGAN? #dateunvlog,2023-08-02T18:59:07Z,"#sagan #ovnis #davidgrusch 
Restos NO HUMANOS: ¿QUE PENSARÍA SAGAN? 

Edición y voz en off: @ikefuti 
-----------------------
🌌 La aventura del conocimiento:
https://amautas.com/
🤳TikTok:
https://www.tiktok.com/@jasantaolalla
📸 Instagram:
https://www.instagram.com/jasantaolalla
⚡ Date Un Voltio:
https://www.youtube.com/channel/UCns-8DssCBba7M4nu7wk7Aw
🥳 Date Un Short:
https://www.youtube.com/channel/UCy0wRL70l-nAOvQHmO8i7ZQ
📚 Date Un Libro:
https://bit.ly/dateunlibro",834156,2529,50592,Science & Technology,2024-10-29
46,https://www.youtube.com/watch?v=l-PQb_7P7Sg,La antimateria tiene gravedad o anti gravedad,2023-09-28T23:12:19Z,,802144,582,90074,Science & Technology,2024-10-29
47,https://www.youtube.com/watch?v=a4fb0XleiIc,Misión JUICE de la @EuropeanSpaceAgency #shorts,2023-05-09T21:00:00Z,"Misión JUICE de la @EuropeanSpaceAgency #shorts

#parati #fyp #juice
------------------
🌌 La aventura del conocimiento: https://amautas.com/
📚 Date Un Libro: https://bit.ly/dateunlibro
🤳TikTok: https://www.tiktok.com/@jasantaolalla
📸 Instagram: https://www.instagram.com/jasantaolalla
🥳 Date Un Vlog: https://www.youtube.com/c/Dateunvlog
⚡ Date Un Voltio: https://www.youtube.com/c/DateunVoltio
🧛‍♂️ Edición: https://linktr.ee/ikefuti",1083283,816,118646,Science & Technology,2024-10-29
48,https://www.youtube.com/watch?v=F-vPoYqNzz0,¿Quién es el humano más inteligente?,2023-11-11T01:10:58Z,,820364,1791,90965,Science & Technology,2024-10-29
49,https://www.youtube.com/watch?v=xvn3zryrTNI,Un reactor de fisión natural en la Tierra #shorts,2023-04-22T21:00:15Z,"Un reactor de fisión natural en la Tierra

#parati #fyp #fusion
------------------
🌌 La aventura del conocimiento: https://amautas.com/
📚 Date Un Libro: https://bit.ly/dateunlibro
🤳TikTok: https://www.tiktok.com/@jasantaolalla
📸 Instagram: https://www.instagram.com/jasantaolalla
🥳 Date Un Vlog: https://www.youtube.com/c/Dateunvlog
⚡ Date Un Voltio: https://www.youtube.com/c/DateunVoltio
🧛‍♂️ Edición: https://linktr.ee/ikefuti",537192,200,59709,Science & Technology,2024-10-29
